token,phonemes,ipa,syllables,stress,plosives,fricatives,energy,rhyme_family,archetype
Chaos,K EY AA S,keɪɑs,2,10,1,2,0.31,aos,Chaos
Aberration,AE B ER EY SH AH N,æbɜeɪʃʌn,4,1000,1,0,0.15,tion,Chaos
Abnormality,A B N O R M A L I T Y,abnormalitj,5,10000,2,0,0.3,y,Chaos
Abrasion,A B R A S I O N,abrasion,3,100,1,1,0.23,sion,Chaos
Abuse,A B U S E,abuse,2,10,1,1,0.23,use,Chaos
Accident,A K K I D E N T,akkident,3,100,4,0,0.6,ent,Chaos
Acclaim,AE K L EY M,ækleɪm,2,10,1,0,0.15,aim,Chaos
Acrimony,A K R I M O N Y,akrimonj,4,1000,1,0,0.15,y,Chaos
Activity,A K T I V I T Y,aktivitj,4,1000,3,1,0.53,y,Chaos
Ailment,EY L M E N T,eɪlment,2,10,1,0,0.15,ent,Chaos
Agitation,A G I T A T I O N,aɡitation,4,1000,3,0,0.45,tion,Chaos
Altercation,A L T E R K A T I O N,alterkation,4,1000,3,0,0.45,tion,Chaos
Anarchy,AE N ER K IY,ænɜki,3,100,1,1,0.23,y,Chaos
Anger,A N G E R,anɡer,2,10,1,0,0.15,ger,Chaos
Anguish,A N G U I SH,anɡuiʃ,2,10,1,2,0.31,ish,Chaos
Anomaly,A N O M A L Y,anomalj,4,1000,0,0,0.0,y,Chaos
Argument,A R G U M E N T,arɡument,3,100,2,0,0.3,ent,Chaos
Armageddon,A R M A G E D D O N,armaɡeddon,4,1000,3,0,0.45,don,Chaos
Arson,A R S O N,arson,2,10,0,1,0.08,son,Chaos
Assault,A S S A U L T,assault,2,10,1,2,0.31,ult,Chaos
Attrition,A T T R I T I O N,attrition,3,100,3,0,0.45,tion,Chaos
Avalanche,A V A L A N K H E,avalankhe,3,100,1,2,0.31,che,Chaos
Backlash,B A K K L A SH,bakklaʃ,2,10,3,2,0.61,ash,Chaos
Battle,B A T T L E,battle,1,1,3,0,0.55,tle,Chaos
Bedlam,B E D L A M,bedlam,2,10,2,0,0.3,lam,Chaos
Breakdown,B R E A K D AW N,breakdaʊn,2,10,3,0,0.45,own,Chaos
Breach,B R E A K H,breakh,1,1,2,1,0.48,ach,Chaos
Brutality,B R U T A L I T Y,brutalitj,4,1000,3,0,0.45,y,Chaos
Burnout,B U R N AW T,burnaʊt,2,10,2,0,0.3,out,Chaos
Cacophony,K A K O P H O N Y,kakophonj,4,1000,3,1,0.53,y,Chaos
Calamity,K A L A M I T Y,kalamitj,4,1000,2,0,0.3,y,Chaos
Catastrophe,K AE T AE S T R OW F IY,kætæstroʊfi,4,1000,3,2,0.61,phe,Chaos
Cataclysm,K A T A K L Y S M,katakljsm,3,100,3,1,0.53,ysm,Chaos
Chasm,K H A S M,khasm,1,1,1,2,0.41,asm,Chaos
